complaint_text,language,category,urgency,department,expected_email
"फेज 2 के ई गली में रस्ता के साइड सब उखड़ रहल अछि। जेका पेंटिंग और मेंटेनेंस चाही से नै अछि, ई देखू थोरक।",Maithili,Roads,Low,Public Works Department Delhi,pwd-delhi@nic.in
"राति में एकटा टेम्पो पलटी मारि देलक कियाक त रस्ता बीच में फाटल अछि। ई बहुत डेंजरस अछि, ओखला फेज 2 के एहि रस्ता के तुरंत मरम्मत करू नै त कोनो जान जएत।",Maithili,Roads,High,Public Works Department Delhi,pwd-delhi@nic.in
"एतय धूर एतेक उड़े अछि कि सांस लेब मुश्किल अछि, रस्ता के मरम्मत कते दिन सं नै भेल अछि। जल्दी ई पेच वर्क करबाउ भाय जी।",Maithili,Roads,Medium,Public Works Department Delhi,pwd-delhi@nic.in
"Saket J-block mein itne machar ho gaye hain ki dengue phel raha hai. Jaldi yahan fogging karwao varna bache bimar ho jayenge, emergency hai bhai!",Hindi,Health,High,Delhi Health Services,dghs@delhi.gov.in
साकेत डिस्पेंसरी के बाहर बहुत कूड़ा जमा है जिससे बहुत बदबू आती है और मरीज परेशान हैं। प्रशासन को तुरंत सफाई करवानी चाहिए नहीं तो बीमारी बढ़ेगी।,Hindi,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
"Saket market de kol gandagi karke makhiaan bohot ho gaiyaan ne. Health da risk hai ji, please kuch karo varna sab bimar ho jange.",Hindi,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
"साकेत मोहल्ला क्लिनिक में दवाई आउर सुई के बहुत कमी बा. गरीब आदमी कहाँ जाई, थोडा देखिये सरकार.",Hindi,Health,Low,Delhi Health Services,dghs@delhi.gov.in
"The emergency ward in the govt facility near Saket is always overcrowded and doctors are not attending critical patients quickly. This is very serious, please improve the staff response.",Hindi,Health,High,Delhi Health Services,dghs@delhi.gov.in
"Sir, Dengue is spreading very fast in Prem Nagar, Najafgarh and 4 kids are already in hospital. No fogging machine has come in our gali for the last 2 weeks, please send the MCD team urgently.",English,Health,High,Delhi Health Services,dghs@delhi.gov.in
"The local Mohalla Clinic near Najafgarh Thana is always crowded and the doctor arrives very late. Many patients are standing in the heat for hours, please check this system as it is very problematic for seniors.",English,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
"There is a major issue with medicine stock at the Government Dispensary in Najafgarh. Basic medicines for BP and sugar are not available for the last 10 days, forcing us to buy from private chemists.",English,Health,Low,Delhi Health Services,dghs@delhi.gov.in
"Stray dogs have become a big menace in Tura Mandi and yesterday they bit an old man. We went to the local government hospital but they said rabies injection is out of stock, this is a very serious health risk.",English,Health,High,Delhi Health Services,dghs@delhi.gov.in
"Too much garbage is piled up near the Najafgarh main market drain and the smell is unbearable for residents. It's attracting so many flies and mosquitoes, we are scared of falling sick soon.",English,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
"महरौली में डेंगू के मच्छर एते बढ़ि गेल छै जे हमर पड़ोस में सब बीमार छथि, हमर बेटा के सेहो तेज बुखार छै आ अस्पताल में सुनवाई नै भ रहल अछि।",Maithili,Health,High,Delhi Health Services,dghs@delhi.gov.in
"मोहल्ला क्लीनिक में शुगर आ बीपी के दवाई कतेको दिन सँ नै मिल रहल अछि, स्टाफ कहैत छथि जे ऊपर सँ स्टॉक नै आयल छै।",Maithili,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
"अस्पताल के गेट पर नाली के पानी जमा छै, जाहि सँ गंध आ बीमारी के खतरा बढ़ि गेल छै, सफाई कर्मचारी के बोलू।",Maithili,Health,Low,Delhi Health Services,dghs@delhi.gov.in
"मेहरौली के सरकारी अस्पताल में एक्सीडेंट वाला केस लेल गेलहुँ त डॉक्टर कहलखिन जे हमरा सँ नै होतै, रेफर क' देलखिन मुदा एम्बुलेंस धरि नै देलनि।",Maithili,Health,High,Delhi Health Services,dghs@delhi.gov.in
"वार्ड में बेड पर चादर बहुत गंदा छै आ कोनो सफाई नै भ रहल अछि, मरीज के अइ सँ आरो बेसी इंफेक्शन भ जाएत।",Maithili,Health,Medium,Delhi Health Services,dghs@delhi.gov.in
